"treatment"	"sample_id"	"sample_group"	"sample_type"	"pretty_name"
"S48h_CKI1"	"S48h_CKI1"	"CKI"	"CKI"	"CKI 1"
"S48h_CKI2"	"S48h_CKI2"	"CKI"	"CKI"	"CKI 2"
"S48h_CKI3"	"S48h_CKI3"	"CKI"	"CKI"	"CKI 3"
"S48h_Mac1"	"S48h_Mac1"	"Mac"	"single_deletion"	"CKI-Mac 1"
"S48h_Mac2"	"S48h_Mac2"	"Mac"	"single_deletion"	"CKI-Mac 2"
"S48h_Mac3"	"S48h_Mac3"	"Mac"	"single_deletion"	"CKI-Mac 3"
"S48h_Nme1"	"S48h_Nme1"	"Nme"	"single_deletion"	"CKI-Nme 1"
"S48h_Nme2"	"S48h_Nme2"	"Nme"	"single_deletion"	"CKI-Nme 2"
"S48h_Nme3"	"S48h_Nme3"	"Nme"	"single_deletion"	"CKI-Nme 3"
"S48h_OMT1"	"S48h_OMT1"	"Omt"	"single_deletion"	"CKI-Omt 1"
"S48h_OMT2"	"S48h_OMT2"	"Omt"	"single_deletion"	"CKI-Omt 2"
"S48h_OMT3"	"S48h_OMT3"	"Omt"	"single_deletion"	"CKI-Omt 3"
"S48h_Tri1"	"S48h_Tri1"	"Tri"	"single_deletion"	"CKI-Tri 1"
"S48h_Tri2"	"S48h_Tri2"	"Tri"	"single_deletion"	"CKI-Tri 2"
"S48h_Tri3"	"S48h_Tri3"	"Tri"	"single_deletion"	"CKI-Tri 3"
"S48h_UT1"	"S48h_UT1"	"UT"	"UT"	"Untreated 1"
"S48h_UT2"	"S48h_UT2"	"UT"	"UT"	"Untreated 2"
"S48h_UT3"	"S48h_UT3"	"UT"	"UT"	"Untreated 3"
